image,gt_team_a,gt_team_b,gt_referees,gt_balls,pred_players,pred_referees,pred_balls,team_a_matched_as_player,team_b_matched_as_player,referee_as_referee,referee_wrongly_as_player,player_wrongly_as_referee,ball_matched
lightblue_red_frame_000000.jpg,6,6,2,1,12,3,1,6,6,2,0,0,0
lightblue_red_frame_000005.jpg,6,6,2,1,13,3,1,6,6,2,0,0,1
lightblue_red_frame_000010.jpg,6,6,2,1,12,3,0,6,6,2,0,0,0
lightblue_red_frame_000015.jpg,6,6,2,1,12,3,1,6,6,2,0,0,1
lightblue_red_frame_000020.jpg,6,6,2,1,12,3,1,6,6,2,0,0,1
lightblue_red_frame_000025.jpg,6,6,2,1,12,3,1,6,6,2,0,0,0
lightblue_red_frame_000030.jpg,6,6,2,1,12,3,1,6,6,2,0,0,0
lightblue_red_frame_000035.jpg,6,6,2,1,12,3,1,6,6,2,0,0,1
lightblue_red_frame_000040.jpg,5,6,2,1,12,3,0,5,6,2,0,0,0
lightblue_red_frame_000045.jpg,5,6,2,1,11,3,0,5,6,2,0,0,0
lightblue_red_frame_000050.jpg,5,6,2,1,11,3,0,5,6,2,0,0,0
lightblue_red_frame_000055.jpg,5,6,2,1,11,3,0,5,6,2,0,0,0
lightblue_red_frame_000060.jpg,5,6,2,1,11,3,0,5,6,2,0,0,0
lightblue_red_frame_000065.jpg,5,6,2,1,11,3,0,5,6,2,0,0,0
lightblue_red_frame_000070.jpg,5,6,2,1,11,3,0,5,6,2,0,0,0
lightblue_red_frame_000075.jpg,5,6,2,1,11,3,0,5,6,2,0,0,0
lightblue_red_frame_000080.jpg,5,6,2,1,11,3,1,5,6,2,0,0,1
lightblue_red_frame_000085.jpg,5,6,2,1,14,3,0,5,6,2,0,0,0
lightblue_red_frame_000090.jpg,5,7,2,1,12,3,0,4,7,2,0,0,0
lightblue_red_frame_000095.jpg,5,6,2,1,11,3,0,5,6,2,0,0,0
lightblue_red_frame_000100.jpg,5,6,2,1,11,2,0,4,5,2,0,0,0
lightblue_red_frame_000105.jpg,5,6,2,1,10,2,0,5,5,2,0,0,0
lightblue_red_frame_000110.jpg,5,6,2,1,11,2,0,5,5,2,0,0,0
lightblue_red_frame_000115.jpg,5,6,2,1,11,2,0,5,6,2,0,0,0
lightblue_red_frame_000120.jpg,5,6,2,1,9,2,1,5,4,2,0,0,1
lightblue_red_frame_000125.jpg,6,5,2,1,9,2,1,5,4,2,0,0,1
lightblue_red_frame_000130.jpg,6,4,2,1,8,2,2,5,2,2,0,0,1
lightblue_red_frame_000135.jpg,7,5,2,1,11,2,0,6,4,2,0,0,0
lightblue_red_frame_000140.jpg,8,5,2,1,12,2,1,7,4,2,0,0,1
lightblue_red_frame_000145.jpg,8,5,2,1,12,2,2,8,4,2,0,0,1
lightblue_red_frame_000150.jpg,7,5,3,1,11,3,2,6,4,3,0,0,1
lightblue_red_frame_000155.jpg,7,4,3,1,11,3,1,7,4,3,0,0,1
lightblue_red_frame_000160.jpg,7,4,3,1,11,3,2,7,4,3,0,0,1
lightblue_red_frame_000165.jpg,6,4,2,1,12,2,1,6,4,2,0,0,1
lightblue_red_frame_000170.jpg,6,3,2,1,9,2,0,6,3,2,0,0,0
lightblue_red_frame_000175.jpg,6,3,2,1,10,2,0,6,3,2,0,0,0
lightblue_red_frame_000180.jpg,6,3,2,1,8,2,0,6,3,2,0,0,0
lightblue_red_frame_000185.jpg,6,3,2,1,9,2,0,6,3,2,1,0,0
lightblue_red_frame_000190.jpg,6,3,2,1,9,2,0,6,3,2,1,0,0
lightblue_red_frame_000195.jpg,6,4,2,1,12,2,0,6,4,2,1,0,0
lightblue_red_frame_000200.jpg,6,4,2,1,11,2,0,6,4,2,1,0,0
lightblue_red_frame_000205.jpg,6,4,2,1,11,2,0,6,4,2,1,0,0
lightblue_red_frame_000210.jpg,6,5,3,1,12,3,1,6,5,3,2,0,0
lightblue_red_frame_000215.jpg,6,5,3,1,11,3,0,6,4,2,0,0,0
lightblue_red_frame_000220.jpg,6,5,3,1,12,3,1,6,5,3,2,0,1
lightblue_red_frame_000225.jpg,6,5,3,1,12,3,1,6,5,3,2,0,1
lightblue_red_frame_000230.jpg,6,5,2,1,13,2,0,6,5,2,1,1,0
lightblue_red_frame_000235.jpg,7,5,2,1,16,1,1,7,4,0,2,0,1
lightblue_red_frame_000240.jpg,7,5,2,1,12,2,1,7,5,2,0,0,1
lightblue_red_frame_000245.jpg,7,5,2,1,12,3,1,5,5,2,0,0,1
lightblue_red_frame_000250.jpg,7,5,2,1,12,2,1,7,5,2,0,0,0
lightblue_red_frame_000255.jpg,7,5,2,1,12,2,1,7,5,2,0,0,1
lightblue_red_frame_000260.jpg,8,5,2,1,13,2,1,8,5,2,0,0,1
lightblue_red_frame_000265.jpg,9,5,2,1,15,2,1,9,5,2,1,0,1
lightblue_red_frame_000270.jpg,9,5,2,1,14,2,1,9,4,2,0,0,1
lightblue_red_frame_000275.jpg,9,5,2,1,14,2,1,9,5,2,0,0,0
lightblue_red_frame_000280.jpg,9,5,2,1,14,2,1,9,5,2,0,0,1
lightblue_red_frame_000285.jpg,9,5,2,1,14,2,1,9,5,2,0,0,1
lightblue_red_frame_000290.jpg,9,5,2,1,14,2,1,9,5,2,0,0,0
lightblue_red_frame_000295.jpg,9,5,2,1,14,2,0,9,5,2,0,0,0
lightblue_red_frame_000300.jpg,9,5,2,1,14,2,1,9,5,2,0,0,1
lightblue_red_frame_000305.jpg,2,3,0,1,8,0,0,2,3,0,0,0,0
lightblue_red_frame_000310.jpg,6,2,0,1,12,0,0,5,2,0,0,0,0
lightblue_red_frame_000315.jpg,4,2,0,1,8,0,0,3,2,0,0,0,0
lightblue_red_frame_000320.jpg,3,2,0,1,7,0,0,2,2,0,0,0,0
lightblue_red_frame_000325.jpg,2,2,0,1,2,0,0,1,2,0,0,0,0
lightblue_red_frame_000330.jpg,4,2,0,1,5,0,0,2,2,0,0,0,0
lightblue_red_frame_000335.jpg,4,1,0,1,6,0,0,3,1,0,0,0,0
lightblue_red_frame_000340.jpg,5,1,0,1,5,0,0,4,1,0,0,0,0
lightblue_red_frame_000345.jpg,5,1,0,1,7,0,0,4,1,0,0,0,0
lightblue_red_frame_000350.jpg,5,1,0,1,7,0,0,3,1,0,0,0,0
lightblue_red_frame_000355.jpg,4,1,0,1,4,0,0,3,0,0,0,0,0
lightblue_red_frame_000360.jpg,4,1,0,1,6,1,2,3,0,0,0,1,1
lightblue_red_frame_000365.jpg,3,1,0,1,5,1,1,2,1,0,0,1,1
lightblue_red_frame_000370.jpg,3,2,0,1,4,1,1,2,1,0,0,1,1
lightblue_red_frame_000375.jpg,9,6,1,1,15,1,0,8,6,1,0,0,0
lightblue_red_frame_000380.jpg,9,6,1,1,15,1,0,9,6,1,0,0,0
lightblue_red_frame_000385.jpg,9,6,1,1,15,2,1,9,6,1,0,0,1
lightblue_red_frame_000390.jpg,9,6,2,1,16,2,0,9,5,2,1,0,0
lightblue_red_frame_000395.jpg,9,6,2,1,16,2,1,9,6,2,1,0,1
lightblue_red_frame_000400.jpg,9,7,2,1,16,2,2,9,7,2,0,0,1
lightblue_red_frame_000405.jpg,8,6,2,1,14,2,0,8,6,2,0,0,0
lightblue_red_frame_000410.jpg,8,6,2,1,14,2,1,8,6,2,0,0,1
lightblue_red_frame_000415.jpg,7,6,2,1,15,1,1,7,6,1,1,0,1
lightblue_red_frame_000420.jpg,7,6,2,1,14,1,1,7,6,1,1,0,1
lightblue_red_frame_000425.jpg,7,6,2,1,14,2,1,7,6,2,1,0,0
lightblue_red_frame_000430.jpg,7,6,1,1,14,1,1,7,6,1,0,0,0
lightblue_red_frame_000435.jpg,7,6,1,1,15,1,1,7,6,1,0,0,0
lightblue_red_frame_000440.jpg,7,6,1,1,14,1,1,7,6,1,0,0,0
lightblue_red_frame_000445.jpg,7,6,1,1,13,1,1,7,6,1,0,0,0
lightblue_red_frame_000450.jpg,6,6,1,1,12,1,2,6,6,1,0,0,1
lightblue_red_frame_000455.jpg,6,6,1,1,12,1,0,6,6,1,0,0,0
lightblue_red_frame_000460.jpg,6,6,1,1,13,1,1,6,6,1,0,0,0
lightblue_red_frame_000465.jpg,6,7,1,1,13,1,1,6,7,1,0,0,0
lightblue_red_frame_000470.jpg,6,7,1,1,13,1,1,6,7,1,0,0,0
lightblue_red_frame_000475.jpg,1,0,0,1,2,0,1,1,0,0,0,0,1
lightblue_red_frame_000480.jpg,1,0,0,1,1,0,1,1,0,0,0,0,1
lightblue_red_frame_000485.jpg,1,0,0,1,2,0,1,1,0,0,0,0,1
lightblue_red_frame_000490.jpg,1,0,0,1,1,0,1,1,0,0,0,0,1
lightblue_red_frame_000495.jpg,1,0,0,1,1,0,1,1,0,0,0,0,1
lightblue_red_frame_000500.jpg,1,0,0,1,1,0,0,1,0,0,0,0,0
lightblue_red_frame_000505.jpg,1,0,0,1,1,0,1,1,0,0,0,0,1
lightblue_red_frame_000510.jpg,6,7,1,1,13,1,1,6,7,1,0,0,0
lightblue_red_frame_000515.jpg,7,7,1,1,14,1,1,7,7,1,0,0,0
lightblue_red_frame_000520.jpg,7,7,1,1,14,1,1,7,7,1,0,0,1
lightblue_red_frame_000525.jpg,7,7,2,1,14,2,1,7,7,2,0,0,1
lightblue_red_frame_000530.jpg,7,7,2,1,14,2,1,7,7,2,0,0,1
lightblue_red_frame_000535.jpg,7,7,2,1,14,2,1,7,7,2,0,0,1
lightblue_red_frame_000540.jpg,7,8,2,1,15,3,1,7,8,2,0,0,1
lightblue_red_frame_000545.jpg,7,8,2,1,15,2,0,7,8,2,0,0,0
lightblue_red_frame_000550.jpg,7,8,2,1,15,2,0,7,8,2,0,0,0
lightblue_red_frame_000555.jpg,7,8,2,1,15,2,0,7,8,2,0,0,0
lightblue_red_frame_000560.jpg,7,8,2,1,15,2,0,7,8,2,0,0,0
lightblue_red_frame_000565.jpg,7,8,2,1,16,2,0,7,8,2,0,0,0
lightblue_red_frame_000570.jpg,7,8,2,1,14,2,0,7,7,2,0,0,0
lightblue_red_frame_000575.jpg,7,8,2,1,14,2,0,7,7,2,0,0,0
lightblue_red_frame_000580.jpg,7,8,2,1,17,2,0,7,8,2,0,0,0
lightblue_red_frame_000585.jpg,7,8,2,1,15,2,0,7,8,2,0,0,0
lightblue_red_frame_000590.jpg,7,8,2,1,17,2,0,7,8,2,0,0,0
lightblue_red_frame_000595.jpg,7,8,2,1,14,2,0,7,8,2,0,0,0
lightblue_red_frame_000600.jpg,7,8,2,1,15,2,0,7,8,2,0,0,0
lightblue_red_frame_000605.jpg,2,1,0,1,4,0,1,2,1,0,0,0,1
lightblue_red_frame_000610.jpg,2,1,0,1,4,0,1,2,1,0,0,0,1
lightblue_red_frame_000615.jpg,2,1,0,1,7,0,1,2,1,0,0,0,1
lightblue_red_frame_000620.jpg,3,1,0,1,6,0,1,2,1,0,0,0,1
lightblue_red_frame_000625.jpg,2,1,0,1,4,0,1,2,1,0,0,0,1
lightblue_red_frame_000630.jpg,2,1,0,1,3,0,0,2,1,0,0,0,0
lightblue_red_frame_000635.jpg,6,7,2,1,13,2,0,6,7,2,0,0,0
lightblue_red_frame_000640.jpg,6,7,2,1,13,2,0,6,7,2,0,0,0
lightblue_red_frame_000645.jpg,6,7,2,1,14,2,0,6,7,2,0,0,0
lightblue_red_frame_000650.jpg,6,7,2,1,13,3,0,6,7,2,0,1,0
lightblue_red_frame_000655.jpg,6,7,2,1,13,2,0,6,7,2,0,0,0
lightblue_red_frame_000660.jpg,6,7,2,1,14,2,0,6,7,2,0,0,0
lightblue_red_frame_000665.jpg,6,7,2,1,13,2,0,6,7,2,0,0,0
lightblue_red_frame_000670.jpg,6,7,2,1,15,2,2,6,7,2,0,0,1
lightblue_red_frame_000675.jpg,6,8,2,1,14,2,1,6,8,2,0,0,1
lightblue_red_frame_000680.jpg,6,8,2,1,14,2,1,6,8,2,0,0,0
lightblue_red_frame_000685.jpg,7,8,2,1,15,2,1,7,8,2,0,0,1
lightblue_red_frame_000690.jpg,7,8,2,1,15,2,1,7,8,2,0,0,0
lightblue_red_frame_000695.jpg,7,8,2,1,14,2,1,7,8,2,0,0,1
lightblue_red_frame_000700.jpg,7,8,2,1,14,2,1,7,8,2,0,0,1
lightblue_red_frame_000705.jpg,7,8,2,1,15,2,1,7,8,2,0,0,1
lightblue_red_frame_000710.jpg,7,9,2,1,17,2,0,7,9,2,0,0,0
lightblue_red_frame_000715.jpg,7,9,2,1,16,2,0,7,9,2,0,0,0
lightblue_red_frame_000720.jpg,7,9,2,1,16,2,0,7,9,2,0,0,0
lightblue_red_frame_000725.jpg,6,9,2,1,17,2,0,6,9,2,0,0,0
lightblue_red_frame_000730.jpg,6,9,2,1,16,2,0,6,9,2,0,0,0
lightblue_red_frame_000735.jpg,7,9,2,1,17,2,1,7,9,2,0,0,0
lightblue_red_frame_000740.jpg,7,8,2,1,15,2,0,7,8,2,0,0,0
lightblue_red_frame_000745.jpg,7,8,2,1,15,2,0,7,8,2,0,0,0
lightblue_red_frame_000750.jpg,6,7,2,1,13,2,0,6,7,2,0,0,0
lightblue_red_frame_000755.jpg,6,6,2,1,12,2,1,6,6,2,0,0,1
lightblue_red_frame_000760.jpg,5,6,2,1,13,2,1,5,6,2,0,0,1
lightblue_red_frame_000765.jpg,5,7,2,1,11,2,1,5,7,2,0,0,0
lightblue_red_frame_000770.jpg,5,7,1,1,12,1,1,5,7,1,0,0,0
lightblue_red_frame_000775.jpg,7,6,1,1,13,1,1,7,6,1,0,0,1
lightblue_red_frame_000780.jpg,7,6,1,1,13,1,1,7,6,1,0,0,1
lightblue_red_frame_000785.jpg,7,5,0,1,12,0,1,7,5,0,0,0,1
lightblue_red_frame_000790.jpg,7,5,0,1,12,0,1,7,5,0,0,0,1
lightblue_red_frame_000795.jpg,7,5,0,1,13,0,1,7,5,0,0,0,0
lightblue_red_frame_000800.jpg,6,5,0,1,12,0,1,6,5,0,0,0,1
lightblue_red_frame_000805.jpg,6,5,0,1,11,0,0,6,5,0,0,0,0
lightblue_red_frame_000810.jpg,6,5,0,1,12,0,0,6,5,0,0,0,0
lightblue_red_frame_000815.jpg,5,5,0,1,10,0,0,5,5,0,0,0,0
lightblue_red_frame_000820.jpg,5,5,0,1,10,0,0,5,5,0,0,0,0
lightblue_red_frame_000825.jpg,5,5,0,1,10,0,1,5,5,0,0,0,1
lightblue_red_frame_000830.jpg,5,5,0,1,10,0,0,5,5,0,0,0,0
lightblue_red_frame_000835.jpg,5,5,0,1,10,0,1,5,5,0,0,0,1
lightblue_red_frame_000840.jpg,5,5,0,1,10,0,1,5,5,0,0,0,1
lightblue_red_frame_000845.jpg,5,5,0,1,10,0,1,5,5,0,0,0,1
lightblue_red_frame_000850.jpg,5,4,0,1,9,0,1,5,4,0,0,0,1
lightblue_red_frame_000855.jpg,4,2,0,1,8,0,1,4,2,0,0,0,1
lightblue_red_frame_000860.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000865.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000870.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000875.jpg,5,2,0,1,7,0,0,5,2,0,0,0,0
lightblue_red_frame_000880.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000885.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000890.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000895.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000900.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000905.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000910.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_000915.jpg,1,0,0,1,2,0,1,1,0,0,0,0,1
lightblue_red_frame_000920.jpg,1,0,0,1,1,0,1,1,0,0,0,0,0
lightblue_red_frame_000925.jpg,1,0,0,1,1,0,1,1,0,0,0,0,1
lightblue_red_frame_000930.jpg,2,0,0,1,3,0,1,2,0,0,0,0,0
lightblue_red_frame_000935.jpg,2,0,0,1,3,0,1,2,0,0,0,0,0
lightblue_red_frame_000940.jpg,2,0,0,1,3,0,1,2,0,0,0,0,1
lightblue_red_frame_000945.jpg,1,0,0,0,2,0,0,1,0,0,0,0,0
lightblue_red_frame_000950.jpg,1,0,0,0,4,0,0,1,0,0,0,0,0
lightblue_red_frame_000955.jpg,1,0,0,1,1,0,0,1,0,0,0,0,0
lightblue_red_frame_000960.jpg,5,3,0,1,8,0,0,5,3,0,0,0,0
lightblue_red_frame_000965.jpg,5,3,0,1,8,0,0,5,3,0,0,0,0
lightblue_red_frame_000970.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_000975.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_000980.jpg,5,3,0,1,8,0,0,5,3,0,0,0,0
lightblue_red_frame_000985.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_000990.jpg,5,4,0,1,9,0,2,5,4,0,0,0,1
lightblue_red_frame_000995.jpg,5,4,0,1,9,0,1,5,4,0,0,0,1
lightblue_red_frame_001000.jpg,5,4,0,1,9,0,1,5,4,0,0,0,1
lightblue_red_frame_001005.jpg,5,4,0,1,9,0,1,5,4,0,0,0,1
lightblue_red_frame_001010.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001015.jpg,5,4,0,1,10,0,1,5,4,0,0,0,1
lightblue_red_frame_001020.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_001025.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_001030.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_001035.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_001040.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_001045.jpg,5,3,0,1,8,0,1,5,3,0,0,0,1
lightblue_red_frame_001050.jpg,5,3,0,1,8,1,1,5,3,0,0,0,1
lightblue_red_frame_001055.jpg,5,3,0,1,8,2,1,5,3,0,0,0,1
lightblue_red_frame_001060.jpg,5,3,0,1,8,0,0,5,3,0,0,0,0
lightblue_red_frame_001065.jpg,5,2,0,1,7,0,1,5,2,0,0,0,0
lightblue_red_frame_001070.jpg,5,2,0,1,7,0,1,5,2,0,0,0,1
lightblue_red_frame_001075.jpg,5,2,0,1,7,0,1,5,2,0,0,0,0
lightblue_red_frame_001080.jpg,5,2,0,1,7,0,1,5,2,0,0,0,0
lightblue_red_frame_001085.jpg,5,2,0,1,7,0,1,5,2,0,0,0,0
lightblue_red_frame_001090.jpg,5,2,0,1,7,0,0,5,2,0,0,0,0
lightblue_red_frame_001095.jpg,5,4,0,1,10,0,1,5,4,0,0,0,0
lightblue_red_frame_001100.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001105.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001110.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001115.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001120.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001125.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001130.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001135.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001140.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001145.jpg,5,4,0,1,9,0,0,5,4,0,0,0,0
lightblue_red_frame_001150.jpg,5,5,0,1,10,0,0,5,5,0,0,0,0
lightblue_red_frame_001155.jpg,5,5,0,1,10,0,0,5,5,0,0,0,0
lightblue_red_frame_001160.jpg,5,5,0,1,11,0,0,5,5,0,0,0,0
lightblue_red_frame_001165.jpg,5,5,0,1,10,0,1,5,5,0,0,0,1
lightblue_red_frame_001170.jpg,5,5,0,1,10,0,1,5,5,0,0,0,0
lightblue_red_frame_001175.jpg,5,5,0,1,10,0,0,5,5,0,0,0,0
lightblue_red_frame_001180.jpg,5,5,0,1,9,0,1,4,5,0,0,0,0
